年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2018,花蓮縣,花蓮市,國聯里,一般住宅/非核心商業區,否,否,358,22,217,60.61,2210500840,6174583,民宿,6817817.08
2018,花蓮縣,花蓮市,國興里,一般住宅/非核心商業區,否,否,149,10,71,47.65,240158800,1611804,早餐店,1665800.62
2018,花蓮縣,花蓮市,國華里,一般住宅/非核心商業區,否,否,109,10,46,42.2,181169606,1662106,麵店、小吃店,1109156.28
2018,花蓮縣,花蓮市,國裕里,一般住宅/非核心商業區,否,否,289,19,183,63.32,1473297189,5097914,麵店、小吃店,5292530.42
2018,花蓮縣,花蓮市,國防里,一般住宅/非核心商業區,否,否,43,0,23,53.49,98791000,2297465,未分類其他土木工程,564174.22
2018,花蓮縣,花蓮市,國風里,一般住宅/非核心商業區,否,否,185,10,97,52.43,292357800,1580312,民宿,2234011.28
2018,花蓮縣,花蓮市,國魂里,一般住宅/非核心商業區,否,否,130,5,70,53.85,886370300,6818233,麵店、小吃店,2401953.99
2018,花蓮縣,花蓮市,市區其他未標示里,一般住宅/非核心商業區,否,否,113,1,10,8.85,34790290,307878,農產品（家畜及家禽肉品）批發市場承銷,235748.37
2018,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,393,7,22,5.6,153706000,391109,餐食攤販,608883.57
2018,花蓮縣,花蓮市,民享里,一般住宅/非核心商業區,否,否,96,5,63,65.62,217079000,2261239,民宿,1482759.27
2018,花蓮縣,花蓮市,民勤里,一般住宅/非核心商業區,否,否,107,6,52,48.6,225291001,2105523,麵店、小吃店,1277789.89
2018,花蓮縣,花蓮市,民孝里,一般住宅/非核心商業區,否,否,149,4,69,46.31,639019499,4288721,水產品零售,2093202.97
2018,花蓮縣,花蓮市,民德里,一般住宅/非核心商業區,否,否,62,4,38,61.29,193345726,3118479,麵店、小吃店,967342.13
2018,花蓮縣,花蓮市,民心里,一般住宅/非核心商業區,否,否,181,4,166,91.71,2547168200,14072752,石材家具及其製品製造,6216670.65
2018,花蓮縣,花蓮市,民意里,一般住宅/非核心商業區,否,否,60,2,34,56.67,329467000,5491116,麵店、小吃店,1048491.91
2018,花蓮縣,花蓮市,民政里,一般住宅/非核心商業區,否,否,108,8,57,52.78,290657848,2691276,不動產投資開發,1451760.72
2018,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,92,6,39,42.39,525919350,5716514,麵店、小吃店,1375750.1
2018,花蓮縣,花蓮市,民有里,一般住宅/非核心商業區,否,否,10,0,3,30.0,1375000,137500,民宿,60127.58
2018,花蓮縣,花蓮市,民樂里,一般住宅/非核心商業區,否,否,14,1,8,57.14,33097000,2364071,冷凍、通風、空調系統裝修工程,194755.16
2018,花蓮縣,花蓮市,民權里,一般住宅/非核心商業區,否,否,16,2,9,56.25,27704000,1731500,民宿,207955.31
2018,花蓮縣,花蓮市,民治里,一般住宅/非核心商業區,否,否,2,0,0,0.0,70000,35000,畜肉零售,81.86
2018,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,230,3,86,37.39,370837000,1612334,服裝零售,2111210.22
2018,花蓮縣,花蓮市,民立里,一般住宅/非核心商業區,否,否,57,1,39,68.42,677215140,11880967,醫療耗材零售,1552670.77
2018,花蓮縣,花蓮市,民運里,一般住宅/非核心商業區,否,否,137,6,50,36.5,373207000,2724138,麵店、小吃店,1411745.2
2019,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,71,3,37,52.11,134080000,1888450,麵店、小吃店,864221.38
2019,花蓮縣,花蓮市,主力里,金三角商圈,是,否,216,9,125,57.87,434727000,2012625,美髮院及髮廊,2898034.68
2019,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,96,4,45,46.88,84289000,878010,未分類其他服飾品零售,957678.21
2019,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,140,4,74,52.86,230739500,1648139,麵店、小吃店,1684077.59
2019,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,108,4,49,45.37,1116025000,10333564,服裝零售,2257132.49
